id,dataset_version,customer_id,invoice_id,amount_minor,currency,payment_state,recovery_state,risk_type,failure_category,failure_code,retry_count,contact_count,is_disputed,failed_at,window_expires_at,last_attempt_at,recovered_amount_minor,scenario_tag
pay_0019,synthetic-v2,cust_0019,inv_0019,797700,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,2,1,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 16:00:00+00:00,0,repeated_payment_failure
pay_0020,synthetic-v2,cust_0020,inv_0020,660100,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,2,1,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 16:00:00+00:00,0,repeated_payment_failure
pay_0021,synthetic-v2,cust_0021,inv_0021,264100,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,2,1,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 16:00:00+00:00,0,repeated_payment_failure
pay_0022,synthetic-v2,cust_0022,inv_0022,703900,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,2,1,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 16:00:00+00:00,0,repeated_payment_failure
pay_0023,synthetic-v2,cust_0023,inv_0023,428700,INR,DISPUTED,PENDING,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,0,0,True,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_dispute
pay_0024,synthetic-v2,cust_0024,inv_0024,261600,INR,DISPUTED,PENDING,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,0,0,True,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_dispute
pay_0025,synthetic-v2,cust_0025,inv_0025,665500,INR,DISPUTED,PENDING,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,0,0,True,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_dispute
pay_0026,synthetic-v2,cust_0026,inv_0026,166100,INR,DISPUTED,PENDING,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,0,0,True,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_dispute
pay_0027,synthetic-v2,cust_0027,inv_0027,845900,INR,FAILED,PENDING,PAYMENT_FAILURE,FRAUD_SUSPECTED,FRAUD_RISK_HIGH,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,possible_fraud
pay_0028,synthetic-v2,cust_0028,inv_0028,857600,INR,FAILED,PENDING,PAYMENT_FAILURE,FRAUD_SUSPECTED,FRAUD_RISK_HIGH,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,possible_fraud
pay_0029,synthetic-v2,cust_0029,inv_0029,714300,INR,FAILED,PENDING,PAYMENT_FAILURE,FRAUD_SUSPECTED,FRAUD_RISK_HIGH,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,possible_fraud
pay_0030,synthetic-v2,cust_0030,inv_0030,240100,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_opt_out
pay_0031,synthetic-v2,cust_0031,inv_0031,65800,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_opt_out
pay_0032,synthetic-v2,cust_0032,inv_0032,864400,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_opt_out
pay_0033,synthetic-v2,cust_0033,inv_0033,483300,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,customer_opt_out
pay_0034,synthetic-v2,cust_0034,inv_0034,3803500,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,high_value_transaction
pay_0035,synthetic-v2,cust_0035,inv_0035,5562800,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,high_value_transaction
pay_0036,synthetic-v2,cust_0036,inv_0036,2117500,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,high_value_transaction
pay_0037,synthetic-v2,cust_0037,inv_0037,1839200,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,high_value_transaction
pay_0038,synthetic-v2,cust_0038,inv_0038,570000,INR,FAILED,PENDING,PAYMENT_FAILURE,PROCESSOR_ERROR,PROCESSOR_5XX,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,successful_retry
pay_0039,synthetic-v2,cust_0039,inv_0039,506500,INR,FAILED,PENDING,PAYMENT_FAILURE,PROCESSOR_ERROR,PROCESSOR_5XX,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,successful_retry
pay_0040,synthetic-v2,cust_0040,inv_0040,146900,INR,FAILED,PENDING,PAYMENT_FAILURE,PROCESSOR_ERROR,PROCESSOR_5XX,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,successful_retry
pay_0041,synthetic-v2,cust_0041,inv_0041,135200,INR,FAILED,PENDING,PAYMENT_FAILURE,PROCESSOR_ERROR,PROCESSOR_5XX,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,successful_retry
pay_0042,synthetic-v2,cust_0042,inv_0042,177600,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 10:00:00+00:00,0,failed_retry_then_recovery
pay_0043,synthetic-v2,cust_0043,inv_0043,862800,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 10:00:00+00:00,0,failed_retry_then_recovery
pay_0044,synthetic-v2,cust_0044,inv_0044,158900,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 10:00:00+00:00,0,failed_retry_then_recovery
pay_0045,synthetic-v2,cust_0045,inv_0045,207700,INR,FAILED,PENDING,PAYMENT_FAILURE,MANDATE_REVOKED,MANDATE_REVOKED,0,1,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,mandate_revoked
pay_0046,synthetic-v2,cust_0046,inv_0046,51800,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-12 20:00:00+00:00,2026-02-27 12:00:00+00:00,,0,recovery_window_expired
pay_0047,synthetic-v2,cust_0047,inv_0047,764800,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-12 20:00:00+00:00,2026-02-27 12:00:00+00:00,,0,recovery_window_expired
pay_0048,synthetic-v2,cust_0048,inv_0048,697500,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,3,2,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 00:00:00+00:00,0,max_retries_reached
pay_0049,synthetic-v2,cust_0049,inv_0049,338500,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,3,2,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 00:00:00+00:00,0,max_retries_reached
pay_0050,synthetic-v2,cust_0050,inv_0050,370100,INR,FAILED,IN_PROGRESS,PAYMENT_FAILURE,DO_NOT_HONOR,DO_NOT_HONOR,3,2,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,2026-02-28 00:00:00+00:00,0,max_retries_reached
pay_0051,synthetic-v2,cust_0051,inv_0051,562000,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0052,synthetic-v2,cust_0052,inv_0052,381600,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0053,synthetic-v2,cust_0053,inv_0053,413700,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0054,synthetic-v2,cust_0054,inv_0054,103900,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0055,synthetic-v2,cust_0055,inv_0055,370500,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0056,synthetic-v2,cust_0056,inv_0056,141900,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 06:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned
pay_0057,synthetic-v2,cust_0057,inv_0057,755300,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,PAYMENT_METHOD_DECLINED_AT_CHECKOUT,CHECKOUT_DECLINED,0,0,False,2026-03-01 09:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_card_declined
pay_0058,synthetic-v2,cust_0058,inv_0058,80000,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,PAYMENT_METHOD_DECLINED_AT_CHECKOUT,CHECKOUT_DECLINED,0,0,False,2026-03-01 09:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_card_declined
pay_0059,synthetic-v2,cust_0059,inv_0059,137400,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,PAYMENT_METHOD_DECLINED_AT_CHECKOUT,CHECKOUT_DECLINED,0,0,False,2026-03-01 09:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_card_declined
pay_0060,synthetic-v2,cust_0060,inv_0060,303800,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,PAYMENT_METHOD_DECLINED_AT_CHECKOUT,CHECKOUT_DECLINED,0,0,False,2026-03-01 09:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_card_declined
pay_0061,synthetic-v2,cust_0061,inv_0061,208400,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 02:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned_opted_out
pay_0062,synthetic-v2,cust_0062,inv_0062,440800,INR,FAILED,PENDING,CHECKOUT_ABANDONMENT,CHECKOUT_DROPPED,CHECKOUT_ABANDONED,0,0,False,2026-03-01 02:00:00+00:00,2026-03-04 12:00:00+00:00,,0,checkout_abandoned_opted_out
pay_0063,synthetic-v2,cust_0063,inv_0063,751600,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0064,synthetic-v2,cust_0064,inv_0064,467000,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0065,synthetic-v2,cust_0065,inv_0065,320200,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0066,synthetic-v2,cust_0066,inv_0066,732100,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0067,synthetic-v2,cust_0067,inv_0067,560000,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0068,synthetic-v2,cust_0068,inv_0068,352300,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-02-09 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_overdue_with_mandate
pay_0069,synthetic-v2,cust_0069,inv_0069,481500,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,MANDATE_ABSENT,NO_ACTIVE_MANDATE,0,0,False,2026-02-04 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_no_mandate
pay_0070,synthetic-v2,cust_0070,inv_0070,322100,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,MANDATE_ABSENT,NO_ACTIVE_MANDATE,0,0,False,2026-02-04 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_no_mandate
pay_0071,synthetic-v2,cust_0071,inv_0071,238900,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,MANDATE_ABSENT,NO_ACTIVE_MANDATE,0,0,False,2026-02-04 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_no_mandate
pay_0072,synthetic-v2,cust_0072,inv_0072,146400,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,MANDATE_ABSENT,NO_ACTIVE_MANDATE,0,0,False,2026-02-04 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_no_mandate
pay_0073,synthetic-v2,cust_0073,inv_0073,4458300,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-01-30 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_high_value
pay_0074,synthetic-v2,cust_0074,inv_0074,3780300,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-01-30 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_high_value
pay_0075,synthetic-v2,cust_0075,inv_0075,1947800,INR,FAILED,PENDING,OVERDUE_RECEIVABLE,INVOICE_OVERDUE,INVOICE_PAST_DUE,0,0,False,2026-01-30 12:00:00+00:00,2026-03-31 12:00:00+00:00,,0,receivable_high_value
