id,dataset_version,segment,opted_out,preferred_channel,lifetime_payments,lifetime_failures,prior_successful_payments,risk_flag
cust_0054,synthetic-v2,ENTERPRISE,False,EMAIL,5,2,3,NONE
cust_0055,synthetic-v2,ENTERPRISE,False,EMAIL,6,2,4,NONE
cust_0056,synthetic-v2,ENTERPRISE,False,EMAIL,6,2,4,NONE
cust_0057,synthetic-v2,RETAIL,False,SMS,8,3,5,NONE
cust_0058,synthetic-v2,RETAIL,False,EMAIL,5,1,4,NONE
cust_0059,synthetic-v2,RETAIL,False,EMAIL,10,2,8,NONE
cust_0060,synthetic-v2,RETAIL,False,EMAIL,10,3,7,NONE
cust_0061,synthetic-v2,RETAIL,True,NONE,25,2,23,NONE
cust_0062,synthetic-v2,RETAIL,True,NONE,22,2,20,NONE
cust_0063,synthetic-v2,ENTERPRISE,False,EMAIL,24,2,22,NONE
cust_0064,synthetic-v2,RETAIL,False,EMAIL,17,3,14,NONE
cust_0065,synthetic-v2,RETAIL,False,EMAIL,18,1,17,NONE
cust_0066,synthetic-v2,RETAIL,False,SMS,19,3,16,NONE
cust_0067,synthetic-v2,ENTERPRISE,False,SMS,20,3,17,NONE
cust_0068,synthetic-v2,RETAIL,False,SMS,18,3,15,NONE
cust_0069,synthetic-v2,RETAIL,False,SMS,14,4,10,NONE
cust_0070,synthetic-v2,ENTERPRISE,False,EMAIL,9,2,7,NONE
cust_0071,synthetic-v2,RETAIL,False,EMAIL,16,3,13,NONE
cust_0072,synthetic-v2,RETAIL,False,EMAIL,12,3,9,NONE
cust_0073,synthetic-v2,SMB,False,SMS,32,0,32,NONE
cust_0074,synthetic-v2,RETAIL,False,EMAIL,29,0,29,NONE
cust_0075,synthetic-v2,SMB,False,EMAIL,26,0,26,NONE
